Column,TripID,StartTime,EndTime,TripDistance,TripDuration,Accuracy,StartCensusTract,EndCensusTract,StartCommunityAreaNumber,EndCommunityAreaNumber,StartCommunityAreaName,start_com_wikidata,EndCommunityAreaName,end_com_wikidata,StartCentroidLatitude,StartCentroidLongitude,Start Centroid Location,EndCentroidLatitude,EndCentroidLongitude,End Centroid Location
10291,0dd95046-1bc8-4464-ba39-7f9e92c668b3,08-06-2019T06:00:00-05:00,08-06-2019T06:00:00-05:00,1004,236,152,1.70312001E10,1.70312001E10,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.9350481285613,-87.73760419547341,POINT (-87.7376041954734 41.9350481285613),41.9350481285613,-87.73760419547341,POINT (-87.7376041954734 41.9350481285613)
10293,6819df6a-9623-4ae0-b1d3-ec617197d229,07-08-2019T04:00:00-05:00,07-08-2019T05:00:00-05:00,9124,3182,10,1.70311507E10,1.70311912E10,15.0,19.0,Portage Park,https://wikidata.org/entity/Q2746395,Belmont Cragin,https://wikidata.org/entity/Q2895017,41.9495915671753,-87.76195803015129,POINT (-87.7619580301513 41.9495915671753),41.920143229102,-87.7608269556143,POINT (-87.7608269556143 41.920143229102)
10342,aa71bb53-3e7f-4964-b6e6-030800419346,08-10-2019T09:00:00-05:00,08-10-2019T09:00:00-05:00,502,97,152,1.70318368E10,1.70318368E10,27.0,27.0,East Garfield Park,https://wikidata.org/entity/Q3046503,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8850448415253,-87.71386248059808,POINT (-87.71386248059811 41.8850448415253),41.8850448415253,-87.71386248059808,POINT (-87.71386248059811 41.8850448415253)
10367,5d256770-1a8a-5e20-8f78-316d1819f46b,06-25-2019T07:00:00-05:00,06-25-2019T08:00:00-05:00,5053,2167,0,1.70312213E10,1.70311908E10,22.0,19.0,Logan Square,https://wikidata.org/entity/Q3257855,Belmont Cragin,https://wikidata.org/entity/Q2895017,41.9211256768265,-87.6997540616386,POINT (-87.6997540616386 41.9211256768265),41.9278186319205,-87.75136236759951,POINT (-87.7513623675995 41.9278186319205)
10369,dffe5324-5f6f-48e7-9edf-d51876ba7d2f,09-19-2019T08:00:00-05:00,09-19-2019T08:00:00-05:00,790,111,152,1.70311901E10,1.70312002E10,19.0,20.0,Belmont Cragin,https://wikidata.org/entity/Q2895017,Hermosa,https://wikidata.org/entity/Q3134251,41.9352176386575,-87.74438887330722,POINT (-87.7443888733072 41.9352176386575),41.9278522690551,-87.7356282729632,POINT (-87.7356282729632 41.9278522690551)
10370,5e7880e5-feac-41f4-8bab-9a7b8f630c8e,06-17-2019T04:00:00-05:00,06-17-2019T04:00:00-05:00,690,375,152,1.70312001E10,1.70312001E10,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.9350481285613,-87.73760419547341,POINT (-87.7376041954734 41.9350481285613),41.9350481285613,-87.73760419547341,POINT (-87.7376041954734 41.9350481285613)
10373,b55ae215-7be0-4bf1-87f6-9cc2aa8d0177,09-18-2019T06:00:00-05:00,09-18-2019T06:00:00-05:00,1200,191,152,,,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064),41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064)
10375,6577640a-db90-4660-862c-ef39d4df4571,09-26-2019T08:00:00-05:00,09-26-2019T08:00:00-05:00,3254,971,152,,,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064),41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064)
10377,acb3ebf2-96be-4c0f-8609-2114044654e3,07-04-2019T03:00:00-05:00,07-04-2019T04:00:00-05:00,3981,932,10,1.70312205E10,1.70311908E10,22.0,19.0,Logan Square,https://wikidata.org/entity/Q3257855,Belmont Cragin,https://wikidata.org/entity/Q2895017,41.9283966009,-87.7049110564962,POINT (-87.7049110564962 41.9283966009),41.9278186319205,-87.75136236759951,POINT (-87.7513623675995 41.9278186319205)
10381,5fe541d3-f496-4ddc-b09e-da90388c2a49,08-28-2019T08:00:00-05:00,08-28-2019T08:00:00-05:00,3974,1038,10,,,16.0,19.0,Irving Park,https://wikidata.org/entity/Q3154615,Belmont Cragin,https://wikidata.org/entity/Q2895017,41.95358181896,-87.72345248206659,POINT (-87.7234524820666 41.95358181896),41.9272607415187,-87.76550183689791,POINT (-87.7655018368979 41.9272607415187)
10386,f4665b14-7ca7-484b-b314-4ceec5c70d0f,08-08-2019T11:00:00-05:00,08-08-2019T11:00:00-05:00,5940,966,152,,,28.0,27.0,"Near West Side, Chicago",https://wikidata.org/entity/Q3337593,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8740053848845,-87.6635178867003,POINT (-87.6635178867003 41.8740053848845),41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851)
10401,65834d46-e050-56ac-adb6-071b282c195f,07-02-2019T04:00:00-05:00,07-02-2019T04:00:00-05:00,1239,484,0,1.70312003E10,1.7031200401E10,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.923480541958206,-87.7341263763901,POINT (-87.7341263763901 41.9234805419582),41.919828484377604,-87.737541896293,POINT (-87.73754189629301 41.9198284843776)
10405,4d7f7cfb-74a6-489b-ba3f-ef33d9eaabf3,08-14-2019T07:00:00-05:00,08-14-2019T07:00:00-05:00,169,118,10,,,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064),41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064)
10410,3a076e3a-9859-4de0-b2ad-03ee9ff58080,09-10-2019T09:00:00-05:00,09-10-2019T09:00:00-05:00,3600,1541,10,,,25.0,27.0,Austin,https://wikidata.org/entity/Q2872106,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8941012961134,-87.7631118242259,POINT (-87.7631118242259 41.8941012961134),41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851)
10430,0fb4272b-63ca-41fb-bafc-10c82b1ad499,09-28-2019T02:00:00-05:00,09-28-2019T02:00:00-05:00,90,163,10,,,27.0,27.0,East Garfield Park,https://wikidata.org/entity/Q3046503,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851),41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851)
10431,60496758-4f8c-4400-962b-2d0ce9fce89c,08-06-2019T08:00:00-05:00,08-06-2019T08:00:00-05:00,1067,145,152,,,27.0,27.0,East Garfield Park,https://wikidata.org/entity/Q3046503,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851),41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851)
10467,11ea612b-c0b6-dda4-11ea-612bc0b6dda4,07-11-2019T03:00:00-05:00,07-11-2019T05:00:00-05:00,8320,3706,10,,,27.0,27.0,East Garfield Park,https://wikidata.org/entity/Q3046503,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851),41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851)
10481,1c8384b1-6a6b-55ea-9930-5568790fb1b3,06-17-2019T03:00:00-05:00,06-17-2019T03:00:00-05:00,885,549,0,1.70312002E10,1.70312002E10,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.9278522690551,-87.7356282729632,POINT (-87.7356282729632 41.9278522690551),41.9278522690551,-87.7356282729632,POINT (-87.7356282729632 41.9278522690551)
10496,f0cc7bde-b489-41e3-955b-d2fa5e811204,09-19-2019T03:00:00-05:00,09-19-2019T03:00:00-05:00,991,205,152,1.70312315E10,1.70318368E10,23.0,27.0,Humboldt Park,https://wikidata.org/entity/Q3143236,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8917318285837,-87.7186559105512,POINT (-87.7186559105512 41.8917318285837),41.8850448415253,-87.71386248059808,POINT (-87.71386248059811 41.8850448415253)
10500,12132998-c029-d118-1213-2998c029d118,08-11-2019T02:00:00-05:00,08-11-2019T02:00:00-05:00,2397,614,10,1.70312213E10,1.70312405E10,22.0,24.0,Logan Square,https://wikidata.org/entity/Q3257855,"West Town, Chicago",https://wikidata.org/entity/Q3567449,41.9211256768265,-87.6997540616386,POINT (-87.6997540616386 41.9211256768265),41.911970041915296,-87.683636524973,POINT (-87.683636524973 41.91197004191531)
10506,11ffb11e-6f53-d53e-11ff-b11e6f53d53e,07-27-2019T07:00:00-05:00,07-27-2019T08:00:00-05:00,4361,853,10,,,22.0,24.0,Logan Square,https://wikidata.org/entity/Q3257855,"West Town, Chicago",https://wikidata.org/entity/Q3567449,41.9227598585219,-87.6991559457654,POINT (-87.6991559457654 41.9227598585219),41.9012067343156,-87.67635712603908,POINT (-87.6763571260391 41.9012067343156)
10507,12455db9-95df-5a82-1245-5db995df5a82,09-18-2019T04:00:00-05:00,09-18-2019T04:00:00-05:00,1915,1039,10,1.70312213E10,1.70312409E10,22.0,24.0,Logan Square,https://wikidata.org/entity/Q3257855,"West Town, Chicago",https://wikidata.org/entity/Q3567449,41.9211256768265,-87.6997540616386,POINT (-87.6997540616386 41.9211256768265),41.904742159128496,-87.7018836562075,POINT (-87.7018836562075 41.9047421591285)
10508,488afe60-6c51-40f8-b956-599857962730,07-26-2019T08:00:00-05:00,07-26-2019T09:00:00-05:00,5108,658,152,,,24.0,27.0,"West Town, Chicago",https://wikidata.org/entity/Q3567449,East Garfield Park,https://wikidata.org/entity/Q3046503,41.9012067343156,-87.67635712603908,POINT (-87.6763571260391 41.9012067343156),41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851)
10519,1211ef53-6918-4824-1211-ef5369184824,08-10-2019T04:00:00-05:00,08-10-2019T04:00:00-05:00,5471,1103,10,,,19.0,20.0,Belmont Cragin,https://wikidata.org/entity/Q2895017,Hermosa,https://wikidata.org/entity/Q3134251,41.9272607415187,-87.76550183689791,POINT (-87.7655018368979 41.9272607415187),41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064)
10525,b9d5ea31-78ce-4cdf-8fd1-cb72b12ac645,08-16-2019T08:00:00-05:00,08-16-2019T09:00:00-05:00,6699,1953,152,1.7031200402E10,1.70318312E10,20.0,20.0,Hermosa,https://wikidata.org/entity/Q3134251,Hermosa,https://wikidata.org/entity/Q3134251,41.9196348322253,-87.72967896347521,POINT (-87.7296789634752 41.9196348322253),41.9153187968744,-87.7322503417904,POINT (-87.7322503417904 41.91531879687441)
10527,765bce06-66c5-4e49-ba20-83652fcaf76e,08-19-2019T03:00:00-05:00,08-19-2019T03:00:00-05:00,540,140,10,,,15.0,19.0,Portage Park,https://wikidata.org/entity/Q2746395,Belmont Cragin,https://wikidata.org/entity/Q2895017,41.9540281621501,-87.76339991111841,POINT (-87.7633999111184 41.9540281621501),41.9272607415187,-87.76550183689791,POINT (-87.7655018368979 41.9272607415187)
10529,7f481219-967e-508a-8c3a-85b1a02074ce,07-25-2019T07:00:00-05:00,07-25-2019T07:00:00-05:00,1029,5,1,,,27.0,27.0,East Garfield Park,https://wikidata.org/entity/Q3046503,East Garfield Park,https://wikidata.org/entity/Q3046503,41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851),41.8789146305851,-87.7058972072278,POINT (-87.7058972072278 41.8789146305851)
10533,719f445f-67e2-dfb2-2ee9-cf922ec97f30,09-11-2019T09:00:00-05:00,09-11-2019T10:00:00-05:00,9300,1897,10,,,21.0,17.0,Avondale,https://wikidata.org/entity/Q2874478,Dunning,https://wikidata.org/entity/Q3041364,41.938665887698,-87.71121063786859,POINT (-87.7112106378686 41.938665887698),41.946510663173896,-87.8060198448135,POINT (-87.8060198448135 41.9465106631739)
10536,37dcb790-f9f0-4330-b584-aa3f8276425e,07-30-2019T01:00:00-05:00,07-30-2019T02:00:00-05:00,379,213,10,1.70318323E10,1.70318423E10,22.0,24.0,Logan Square,https://wikidata.org/entity/Q3257855,"West Town, Chicago",https://wikidata.org/entity/Q3567449,41.919207017670495,-87.6714490286271,POINT (-87.6714490286271 41.9192070176705),41.902200918096106,-87.65606634036399,POINT (-87.656066340364 41.9022009180961)
10539,7ad47988-49ca-48f2-b0e5-0154ea464e26,07-17-2019T07:00:00-05:00,07-17-2019T07:00:00-05:00,3145,472,10,,,19.0,20.0,Belmont Cragin,https://wikidata.org/entity/Q2895017,Hermosa,https://wikidata.org/entity/Q3134251,41.9272607415187,-87.76550183689791,POINT (-87.7655018368979 41.9272607415187),41.924347757006394,-87.7347401601846,POINT (-87.7347401601846 41.9243477570064)
